Дата,Категория,Сумма
2024-03-10,Транспорт,14476.28
2024-08-21,Одежда,9531.77
2024-07-13,Транспорт,9855.39
2024-05-08,Одежда,-9074.16
2024-04-08,Транспорт,14345.02
2024-06-04,Техника,-3892.87
2024-03-12,Продукты,13449.43
2024-03-03,Продукты,9126.36
2024-05-31,Развлечения,4092.49
2024-08-10,Одежда,4627.14
2024-08-03,Одежда,14633.85
2024-09-20,Развлечения,4267.54
2024-07-11,Транспорт,11446.98
2024-05-07,Транспорт,6506.2
2024-08-12,Жильё,5748.57
2024-08-25,Транспорт,-1834.82
2024-01-16,Медицина,12611.98
2024-05-22,Продукты,9179.07
2024-03-09,Медицина,13659.47
2024-08-17,Продукты,4440.02
2024-01-02,Техника,10255.61
2024-05-31,Транспорт,1157.63
2024-01-23,Жильё,12900.69
2024-04-14,Развлечения,8579.79
2024-03-20,Развлечения,12056.68
2024-01-07,Транспорт,10568.47
2024-05-11,Техника,1509.9
2024-01-07,Медицина,3723.34
2024-03-15,Продукты,7425.07
2024-12-29,Техника,14062.6
2024-08-04,Одежда,5109.92
2024-07-18,Медицина,5886.49
2024-02-17,Техника,91.51
2024-10-23,Транспорт,6431.11
2024-02-12,Транспорт,8913.57
2024-06-01,Техника,179.77
2024-08-24,Медицина,13815.5
2024-04-07,Одежда,10790.9
2024-08-15,Продукты,9231.72
2024-07-21,Транспорт,1549.53
2024-04-01,Медицина,7368.09
2024-09-24,Медицина,8002.56
2024-11-03,Развлечения,6933.18
2024-07-30,Продукты,6213.09
2024-09-04,Продукты,10888.98
2024-08-18,Медицина,3183.76
2024-09-22,Одежда,9747.26
2024-04-25,Транспорт,8918.57
2024-09-13,Жильё,1414.3
2024-12-20,Продукты,12701.42
2024-09-23,Техника,10966.78
2024-07-04,Одежда,14777.26
2024-01-20,Техника,6499.12
2024-08-31,Продукты,2733.65
2024-02-01,Жильё,4326.42
2024-06-07,Жильё,7244.47
2024-02-27,Продукты,6969.25
2024-06-16,Техника,9070.38
2024-09-13,Медицина,3241.07
2024-11-02,Развлечения,7395.75
2024-12-16,Медицина,5620.55
2024-03-24,Медицина,7058.02
2024-12-19,Жильё,4237.05
2024-10-29,Продукты,14814.3
2024-10-26,Транспорт,8173.72
2024-06-07,Жильё,7255.97
2024-01-19,Развлечения,10177.85
2024-07-02,Медицина,10414.33
2024-01-15,Жильё,8057.36
2024-08-19,Жильё,1741.11
2024-06-07,Развлечения,4466.13
2024-07-11,Продукты,8047.53
2024-02-12,Жильё,6258.16
2024-08-02,Медицина,3747.68
2024-04-23,Развлечения,11623.8
2024-05-10,Медицина,11934.15
2024-02-24,Медицина,9471.11
2024-01-01,Жильё,981.79
2024-06-09,Продукты,10665.81
2024-09-11,Жильё,7679.08
2024-08-31,Техника,11858.73
2024-02-11,Транспорт,12001.8
2024-11-25,Медицина,3064.17
2024-12-31,Транспорт,11861.36
2024-12-28,Жильё,7073.13
2024-03-07,Транспорт,855.93
2024-08-26,Транспорт,11628.88
2024-03-04,Развлечения,3118.65
2024-06-11,Развлечения,5254.66
2024-04-15,Техника,2419.36
2024-05-12,Одежда,3399.99
2024-09-02,Жильё,8181.57
2024-02-10,Жильё,871.94
2024-05-18,Техника,11172.67
2024-11-30,Жильё,9621.05
2024-03-14,Одежда,14666.36
2024-06-16,Жильё,14182.12
2024-07-02,Развлечения,7297.91
2024-03-15,Продукты,6314.64
2024-06-23,Медицина,535.97
